Time(s),GPU_Mem(MB),GPU_Util(%),CPU_Util(%),RAM_Util(%),GPU_Power(W),GPU_Temp(C)
0.00,38640.62,100,4.3,7.6,299.11,54
0.53,38640.62,100,1.7,7.6,298.42,54
1.03,38640.62,100,2.2,7.6,298.62,54
1.53,38640.62,100,1.9,7.6,298.54,55
2.03,38640.62,100,2.4,7.6,298.90,55
2.53,38640.62,100,1.8,7.6,297.90,55
3.03,38640.62,100,1.9,7.6,298.66,55
3.54,38640.62,100,1.7,7.6,298.03,56
4.04,38640.62,100,1.9,7.6,298.56,56
4.54,38640.62,100,1.9,7.6,298.03,56
5.04,38640.62,100,1.8,7.6,298.56,56
5.54,38640.62,100,2.0,7.6,298.95,57
6.04,38640.62,100,1.9,7.6,298.21,57
6.55,38640.62,100,1.8,7.6,298.41,57
7.05,38640.62,100,1.8,7.6,297.89,58
7.55,38640.62,100,3.4,7.6,298.57,58
8.05,38640.62,100,3.5,7.6,298.58,58
8.55,38640.62,100,3.6,7.6,298.91,58
9.05,38640.62,100,3.4,7.6,298.44,58
9.56,38640.62,100,3.4,7.6,298.14,58
10.06,38640.62,0,3.2,7.7,236.81,54
10.56,38640.62,0,2.4,7.7,138.83,53
11.06,38640.62,0,2.2,7.7,119.00,53
11.56,38640.62,0,2.7,7.7,119.00,53
12.07,38690.62,8,2.9,7.7,83.10,53
12.57,38690.62,0,2.4,7.7,82.92,52
13.07,38690.62,0,2.2,7.7,82.66,52
13.57,38690.62,0,2.7,7.7,82.66,52
14.07,38690.62,0,1.8,7.7,82.12,52
14.57,38690.62,0,1.8,7.7,82.12,52
15.07,38692.62,42,4.7,7.7,151.16,58
15.58,38692.62,100,3.5,7.7,195.65,58
16.08,38692.62,100,3.5,7.7,296.95,58
16.58,38692.62,100,3.5,7.7,297.11,59
17.08,38692.62,100,3.4,7.7,298.21,59
17.58,38692.62,100,3.4,7.7,298.63,59
18.09,38692.62,100,4.1,7.7,298.61,60
18.59,38692.62,100,3.4,7.7,299.04,60
19.09,38692.62,100,3.3,7.7,298.65,60
19.59,38692.62,100,3.3,7.7,298.71,60
20.09,38692.62,100,3.4,7.7,298.14,60
20.59,38692.62,100,5.5,7.7,298.49,61
21.10,38692.62,100,6.4,7.7,298.44,61
21.60,38692.62,100,6.8,7.7,298.50,61
22.10,38692.62,100,3.6,7.7,298.44,61
22.60,38692.62,100,3.6,7.7,298.64,61
23.11,38692.62,100,4.6,7.7,298.71,62
23.61,38692.62,100,4.7,7.7,298.88,62
24.11,38692.62,100,4.7,7.7,297.93,62
24.62,38692.62,100,4.8,7.7,298.49,62
25.12,38692.62,100,4.5,7.7,299.05,62
25.62,38692.62,100,3.5,7.7,298.45,62
26.12,38692.62,100,3.4,7.7,298.74,63
26.62,38692.62,100,3.7,7.7,298.60,63
27.13,38692.62,100,3.9,7.7,298.43,63
27.63,38692.62,100,3.5,7.7,297.94,63
28.14,38692.62,100,3.4,7.7,298.95,63
